ID,Intelligence,Blood Status,Loyalty,Gender,What are you curious about?,Affinity to Dark Arts,Magic Transportation Model,Height,Preferred Goblet Potion,"If you were a principal, how would you choose your students?",Species,Preferred Element,Kindness,House
1,30.0,Muggle Born,37.0,F,World after we die,51.94,Apparition,169.42,The Golden Potion,"By a difficult exam",Centaurs,,69.5,Gryffindor
2,32.0,Pure Blood,42.0,F,World after we die,54.0,Apparition,183.53,Potion that smells of plums and chocolates,"I choose without preferences",Humans,,49.61,Slytherine
3,32.0,Pure Blood,38.0,F,World after we die,38.61,Portkey,171.48,Potion that smells of plums and chocolates,"By a difficult exam",Werewolves,,25.87,Ravenclaw
4,28.0,Muggle Born,36.0,F,Magical Creatures,47.5,Portkey,142.18,Potion that makes you see strange visions,"I choose students with high scores",Centaurs,,82.35,Slytherine
5,28.0,Muggle Born,40.0,F,Plants,54.29,Flying,190.82,Potion that smells of plums and chocolates,"By a difficult exam",Humans,,95.46,Ravenclaw
6,27.0,Muggle Born,38.0,M,Magical Creatures,55.83,Portkey,109.64,The Golden Potion,"I choose without preferences",Giants,,38.12,Ravenclaw
7,29.0,Muggle Born,41.0,F,Magical Creatures,70.6,Portkey,164.17,Potion that smells of plums and chocolates,"By a psychological test",Werewolves,,46.54,Ravenclaw
8,26.0,Muggle Born,41.0,F,Evil,60.27,Apparition,186.21,Silvery Potion,"I choose without preferences",Centaurs,,34.22,Hufflepuff
9,31.0,Muggle Born,39.0,M,Plants,59.35,,176.12,Silvery Potion,"I choose students with high scores",Humans,,67.97,Slytherine
10,34.0,Muggle Born,42.0,M,World after we die,61.79,Portkey,128.71,Silvery Potion,,Giants,,35.33,Gryffindor
11,31.0,Pure Blood,44.0,M,Magical Creatures,37.01,Apparition,98.51,Silvery Potion,"I choose students with high scores",Werewolves,Water,46.91,Gryffindor
12,30.0,Muggle Born,40.0,M,Magical Creatures,63.92,Apparition,260.87,Potion that smells of plums and chocolates,"By a difficult exam",Humans,,27.24,Slytherine
13,35.0,Muggle Born,37.0,M,World after we die,60.38,Apparition,133.59,Silvery Potion,"By a difficult exam",Centaurs,Water,40.54,Hufflepuff
14,32.0,Muggle Born,39.0,F,World after we die,44.82,Apparition,178.59,Silvery Potion,"By a difficult exam",Werewolves,,53.39,Ravenclaw
15,33.0,Muggle Born,40.0,F,Magical Creatures,62.26,Portkey,132.67,Silvery Potion,"By a difficult exam",Werewolves,,35.83,Ravenclaw
16,29.0,Pure Blood,43.0,M,Magical Creatures,44.7,Apparition,92.1,Potion that makes you see strange visions,"I choose students with high scores",Centaurs,,54.53,Slytherine
17,32.0,Pure Blood,43.0,M,Plants,44.15,Portkey,217.17,The Golden Potion,"By a difficult exam",Centaurs,,28.76,Slytherine
18,29.0,Pure Blood,40.0,F,Plants,62.69,Portkey,137.53,Silvery Potion,"I choose students with high scores",Giants,,54.05,Slytherine
19,31.0,Muggle Born,43.0,F,World after we die,47.94,Portkey,183.16,Potion that smells of plums and chocolates,"By a psychological test",Humans,,104.53,Ravenclaw
20,35.0,Muggle Born,42.0,M,Plants,46.73,Portkey,163.04,Potion that smells of plums and chocolates,"I choose without preferences",Centaurs,,55.87,Ravenclaw
21,31.0,Pure Blood,39.0,F,Plants,63.15,Floo Network,142.18,Potion that makes you see strange visions,"I choose students with high scores",Werewolves,,44.09,Hufflepuff
22,31.0,Pure Blood,38.0,F,Magical Creatures,60.58,Apparition,169.32,The Golden Potion,"By a difficult exam",Werewolves,,29.08,Slytherine
23,30.0,Muggle Born,40.0,F,World after we die,52.5,Portkey,128.33,Potion that smells of plums and chocolates,"By a psychological test",Werewolves,,32.28,Hufflepuff
24,32.0,Pure Blood,37.0,M,Plants,61.57,Apparition,67.45,Potion that smells of plums and chocolates,"I choose without preferences",Centaurs,,26.84,Hufflepuff
25,34.0,Pure Blood,42.0,M,Magical Creatures,36.9,Portkey,233.44,Potion that makes you see strange visions,"By a psychological test",Werewolves,,66.15,Hufflepuff
26,29.0,Pure Blood,38.0,M,Plants,44.12,Portkey,171.74,Silvery Potion,"I choose without preferences",Werewolves,,55.94,Ravenclaw
27,24.0,Muggle Born,39.0,M,World after we die,50.63,Portkey,176.52,Potion that makes you see strange visions,"By a difficult exam",Centaurs,,42.6,Gryffindor
28,30.0,Muggle Born,40.0,M,World after we die,30.37,Floo Network,148.68,The Golden Potion,"By a difficult exam",Werewolves,,29.79,Slytherine
29,35.0,Muggle Born,39.0,F,Plants,48.21,Flying,216.23,Silvery Potion,"By a difficult exam",Centaurs,,31.46,Hufflepuff
30,29.0,Muggle Born,41.0,F,World after we die,59.65,Apparition,231.07,Potion that makes you see strange visions,"By a difficult exam",Centaurs,,72.61,Ravenclaw
31,33.0,Muggle Born,40.0,M,Plants,43.1,Apparition,185.59,Silvery Potion,"I choose without preferences",Werewolves,,27.85,Hufflepuff
32,29.0,Muggle Born,41.0,F,Magical Creatures,55.15,Portkey,59.8,Potion that smells of plums and chocolates,"I choose without preferences",Giants,,88.45,Hufflepuff
33,33.0,Pure Blood,39.0,M,Magical Creatures,53.47,Apparition,186.88,Silvery Potion,"By a difficult exam",Werewolves,,37.87,Ravenclaw
